"","gamma_value","min_child_weight_value","cross-validation error"
"1",0,0,0.121804009014124
"2",0,0.3,0.121804009014124
"3",0,0.6,0.121804009014124
"4",0,1,0.121804009014124
"5",0.3,0,0.138186249626992
"6",0.3,0.3,0.138186249626992
"7",0.3,0.6,0.138186249626992
"8",0.3,1,0.138186249626992
"9",0.6,0,0.146007412465279
"10",0.6,0.3,0.146007412465279
"11",0.6,0.6,0.146007412465279
"12",0.6,1,0.146007412465279
"13",1,0,0.153047791667659
"14",1,0.3,0.153047791667659
"15",1,0.6,0.153047791667659
"16",1,1,0.153047791667659
