"","Id","MSSubClass","MSZoning_C (all)","MSZoning_FV","MSZoning_RH","MSZoning_RL","MSZoning_RM","LotFrontage","LotArea","Street_Grvl","Street_Pave","Alley_Grvl","Alley_Pave","Alley_None","LotShape_IR1","LotShape_IR2","LotShape_IR3","LotShape_Reg","LandContour_Bnk","LandContour_HLS","LandContour_Low","LandContour_Lvl","Utilities_AllPub","Utilities_NoSeWa","LotConfig_Corner","LotConfig_CulDSac","LotConfig_FR2","LotConfig_FR3","LotConfig_Inside","LandSlope_Gtl","LandSlope_Mod","LandSlope_Sev","Neighborhood_Blmngtn","Neighborhood_Blueste","Neighborhood_BrDale","Neighborhood_BrkSide","Neighborhood_ClearCr","Neighborhood_CollgCr","Neighborhood_Crawfor","Neighborhood_Edwards","Neighborhood_Gilbert","Neighborhood_IDOTRR","Neighborhood_MeadowV","Neighborhood_Mitchel","Neighborhood_NAmes","Neighborhood_NoRidge","Neighborhood_NPkVill","Neighborhood_NridgHt","Neighborhood_NWAmes","Neighborhood_OldTown","Neighborhood_Sawyer","Neighborhood_SawyerW","Neighborhood_Somerst","Neighborhood_StoneBr","Neighborhood_SWISU","Neighborhood_Timber","Neighborhood_Veenker","Condition1_Artery","Condition1_Feedr","Condition1_Norm","Condition1_PosA","Condition1_PosN","Condition1_RRAe","Condition1_RRAn","Condition1_RRNe","Condition1_RRNn","Condition2_Artery","Condition2_Feedr","Condition2_Norm","Condition2_PosA","Condition2_PosN","Condition2_RRAe","Condition2_RRAn","Condition2_RRNn","BldgType_1Fam","BldgType_2fmCon","BldgType_Duplex","BldgType_Twnhs","BldgType_TwnhsE","HouseStyle_1.5Fin","HouseStyle_1.5Unf","HouseStyle_1Story","HouseStyle_2.5Fin","HouseStyle_2.5Unf","HouseStyle_2Story","HouseStyle_SFoyer","HouseStyle_SLvl","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle_Flat","RoofStyle_Gable","RoofStyle_Gambrel","RoofStyle_Hip","RoofStyle_Mansard","RoofStyle_Shed","RoofMatl_CompShg","RoofMatl_Membran","RoofMatl_Metal","RoofMatl_Roll","RoofMatl_Tar&Grv","RoofMatl_WdShake","RoofMatl_WdShngl","Exterior1st_AsbShng","Exterior1st_AsphShn","Exterior1st_BrkComm","Exterior1st_BrkFace","Exterior1st_CBlock","Exterior1st_CemntBd","Exterior1st_HdBoard","Exterior1st_ImStucc","Exterior1st_MetalSd","Exterior1st_Plywood","Exterior1st_Stone","Exterior1st_Stucco","Exterior1st_VinylSd","Exterior1st_Wd Sdng","Exterior1st_WdShing","Exterior2nd_AsbShng","Exterior2nd_AsphShn","Exterior2nd_Brk Cmn","Exterior2nd_BrkFace","Exterior2nd_CBlock","Exterior2nd_CmentBd","Exterior2nd_HdBoard","Exterior2nd_ImStucc","Exterior2nd_MetalSd","Exterior2nd_Other","Exterior2nd_Plywood","Exterior2nd_Stone","Exterior2nd_Stucco","Exterior2nd_VinylSd","Exterior2nd_Wd Sdng","Exterior2nd_Wd Shng","MasVnrType_BrkCmn","MasVnrType_BrkFace","MasVnrType_None","MasVnrType_Stone","MasVnrArea","ExterQual_Ex","ExterQual_Fa","ExterQual_Gd","ExterQual_TA","ExterCond_Ex","ExterCond_Fa","ExterCond_Gd","ExterCond_Po","ExterCond_TA","Foundation_BrkTil","Foundation_CBlock","Foundation_PConc","Foundation_Slab","Foundation_Stone","Foundation_Wood","BsmtQual_Ex","BsmtQual_Fa","BsmtQual_Gd","BsmtQual_TA","BsmtQual_no","BsmtCond_Fa","BsmtCond_Gd","BsmtCond_Po","BsmtCond_TA","BsmtCond_no","BsmtExposure_Av","BsmtExposure_Gd","BsmtExposure_Mn","BsmtExposure_No","BsmtExposure_nobase","BsmtFinType1_ALQ","BsmtFinType1_BLQ","BsmtFinType1_GLQ","BsmtFinType1_LwQ","BsmtFinType1_Rec","BsmtFinType1_Unf","BsmtFinType1_nobase","BsmtFinSF1","BsmtFinType2_ALQ","BsmtFinType2_BLQ","BsmtFinType2_GLQ","BsmtFinType2_LwQ","BsmtFinType2_Rec","BsmtFinType2_Unf","BsmtFinType2_nobase","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating_Floor","Heating_GasA","Heating_GasW","Heating_Grav","Heating_OthW","Heating_Wall","HeatingQC_Ex","HeatingQC_Fa","HeatingQC_Gd","HeatingQC_Po","HeatingQC_TA","CentralAir_N","CentralAir_Y","Electrical_FuseA","Electrical_FuseF","Electrical_FuseP","Electrical_Mix","Electrical_SBrkr","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual_Ex","KitchenQual_Fa","KitchenQual_Gd","KitchenQual_TA","TotRmsAbvGrd","Functional_Maj1","Functional_Maj2","Functional_Min1","Functional_Min2","Functional_Mod","Functional_Sev","Functional_Typ","Fireplaces","FireplaceQu_Ex","FireplaceQu_Fa","FireplaceQu_Gd","FireplaceQu_Po","FireplaceQu_TA","GarageType_2Types","GarageType_Attchd","GarageType_Basment","GarageType_BuiltIn","GarageType_CarPort","GarageType_Detchd","GarageType_nogarage","GarageYrBlt","GarageFinish_Fin","GarageFinish_RFn","GarageFinish_Unf","GarageFinish_nogarage","GarageCars","GarageArea","GarageQual_Ex","GarageQual_Fa","GarageQual_Gd","GarageQual_Po","GarageQual_TA","GarageQual_nogarage","GarageCond_Ex","GarageCond_Fa","GarageCond_Gd","GarageCond_Po","GarageCond_TA","GarageCond_nogarage","PavedDrive_N","PavedDrive_P","PavedDrive_Y","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC_Ex","PoolQC_Fa","PoolQC_Gd","PoolQC_nopool","Fence_GdPrv","Fence_GdWo","Fence_MnPrv","Fence_MnWw","Fence_nofence","MiscFeature_Gar2","MiscFeature_Othr","MiscFeature_Shed","MiscFeature_TenC","MiscFeature_None","MiscVal","MoSold","YrSold","SaleType_COD","SaleType_Con","SaleType_ConLD","SaleType_ConLI","SaleType_ConLw","SaleType_CWD","SaleType_New","SaleType_Oth","SaleType_WD","SaleCondition_Abnorml","SaleCondition_AdjLand","SaleCondition_Alloca","SaleCondition_Family","SaleCondition_Normal","SaleCondition_Partial","log1p_SalePrice","area_per_car","above_and_ground_area","Total_Bathrooms","one_and_two","Total_Porch_Area"
"1",1,60,0,0,0,1,0,65,8450,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,5,2003,2003,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,196,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,706,0,0,0,0,0,1,0,0,150,856,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,856,854,0,1710,1,0,2,1,3,1,0,0,1,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2003,0,1,0,0,2,548,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,61,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.2476991163726,274,2566,3.5,1710,61
"2",2,20,0,0,0,1,0,80,9600,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,8,1976,1976,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,978,0,0,0,0,0,1,0,0,284,1262,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1262,0,0,1262,0,1,2,0,3,1,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1976,0,1,0,0,2,460,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,298,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,5,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.1090164423137,230,2524,2.5,1262,298
"3",3,60,0,0,0,1,0,68,11250,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,5,2001,2002,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,162,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,486,0,0,0,0,0,1,0,0,434,920,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,920,866,0,1786,1,0,2,1,3,1,0,0,1,0,6,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2001,0,1,0,0,2,608,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,42,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,9,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.3171711672987,304,2706,3.5,1786,42
"4",4,70,0,0,0,1,0,60,9550,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,5,1915,1970,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,216,0,0,0,0,0,1,0,0,540,756,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,961,756,0,1717,1,0,1,0,3,1,0,0,1,0,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1998,0,0,1,0,3,642,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,35,272,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,2006,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11.8494048444231,214,2473,2,1717,307
"5",5,60,0,0,0,1,0,84,14260,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,8,5,2000,2000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,350,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,655,0,0,0,0,0,1,0,0,490,1145,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1145,1053,0,2198,1,0,2,1,4,1,0,0,1,0,9,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2000,0,1,0,0,3,836,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,192,84,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,12,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.4292201968364,278.666666666667,3343,3.5,2198,276
"6",6,50,0,0,0,1,0,85,14115,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,5,1993,1995,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,732,0,0,0,0,0,1,0,0,64,796,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,796,566,0,1362,1,0,1,1,1,1,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1993,0,0,1,0,2,480,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,40,30,0,320,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,700,10,2009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11.8706069022246,240,2158,2.5,1362,390
"7",7,20,0,0,0,1,0,75,10084,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,5,2004,2005,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,186,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1369,0,0,0,0,0,1,0,0,317,1686,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1694,0,0,1694,1,0,2,0,3,1,0,0,1,0,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,2004,0,1,0,0,2,636,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,255,57,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,8,2007,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.634606283893,318,3380,3,1694,312
"8",8,60,0,0,0,1,0,80,10382,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,6,1973,1973,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,240,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,859,0,1,0,0,0,0,0,32,216,1107,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1107,983,0,2090,1,0,2,1,3,1,0,0,0,1,7,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,1973,0,1,0,0,2,484,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,235,204,228,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,350,11,2009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.2060776455177,242,3197,3.5,2090,667
"9",9,50,0,0,0,0,1,51,6120,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,5,1931,1950,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,952,952,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1022,752,0,1774,0,0,2,0,2,2,0,0,0,1,8,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1931,0,0,1,0,2,468,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,90,0,205,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4,2008,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11.7745279008585,234,2726,2,1774,295
"10",10,190,0,0,0,1,0,50,7420,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,6,1939,1950,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,851,0,0,0,0,0,1,0,0,140,991,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1077,0,0,1077,1,0,1,0,2,2,0,0,0,1,5,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,1939,0,1,0,0,1,205,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11.6784483779882,205,2068,2,1077,4
